question,votes,tags
Including all the jars in a directory within the Java classpath,1092,"['java', 'command-line', 'classpath']"
How to mock void methods with Mockito,1072,"['java', 'unit-testing', 'mocking', 'mockito', 'void']"
"What is the difference between canonical name, simple name and class name in Java Class?",1072,['java']
What does 'synchronized' mean?,1056,"['java', 'multithreading', 'keyword', 'synchronized']"
How can I generate an MD5 hash in Java?,1053,"['java', 'hash', 'md5', 'hashcode']"
How to resolve java.lang.NoClassDefFoundError: javax/xml/bind/JAXBException,1048,"['java', 'jaxb', 'java-9', 'java-11', 'java-10']"
How can I get the current stack trace in Java?,1042,"['stack-trace', 'java']"
How to set or change the default Java (JDK) version on macOS?,1041,"['java', 'macos']"
Static Classes In Java,1034,"['java', 'static-classes']"
Why can't I use switch statement on a String?,1033,"['java', 'string', 'switch-statement']"
:: (double colon) operator in Java 8,1030,"['java', 'java-8']"
StringBuilder vs String concatenation in toString() in Java,1019,"['java', 'performance', 'string', 'concatenation', 'stringbuilder']"
"Difference between HashMap, LinkedHashMap and TreeMap",1015,"['java', 'map']"
Why doesn't RecyclerView have onItemClickListener()?,1013,"['java', 'android', 'android-recyclerview']"
What is the difference between JDK and JRE?,1008,['java']
Can't start Eclipse - Java was started but returned exit code=13,1005,"['java', 'android', 'windows', 'eclipse', '32bit-64bit']"
When to use static methods,1002,"['java', 'static-methods']"
"Java 8 List<V> into Map<K, V>",998,"['java', 'lambda', 'java-8', 'java-stream']"
Reading a plain text file in Java,997,"['java', 'file-io', 'ascii']"
How to check if a String is numeric in Java,974,"['java', 'string', 'numeric']"
Place cursor at the end of text in EditText,974,"['java', 'android', 'kotlin', 'android-edittext', 'keylistener']"
How to create RecyclerView with multiple view types,968,"['java', 'android', 'user-interface', 'android-recyclerview']"
What exactly is a Maven Snapshot and why do we need it?,958,"['java', 'maven', 'dependency-management']"
How to reference a method in javadoc?,956,"['java', 'hyperlink', 'javadoc']"
Java string to date conversion,955,"['java', 'string', 'date', 'time', 'data-conversion']"
Failed to load the JNI shared Library (JDK),947,"['java', 'windows', 'eclipse', 'java-native-interface']"
How do I time a method's execution in Java?,941,"['java', 'timing', 'execution-time']"
How do I convert a String to an InputStream in Java?,933,"['java', 'string', 'type-conversion', 'inputstream']"
When and how should I use a ThreadLocal variable?,931,"['java', 'multithreading', 'concurrency', 'thread-local', 'thread-confinement']"
What do 3 dots next to a parameter type mean in Java?,931,"['java', 'variadic-functions']"
How do I write a correct micro-benchmark in Java?,927,"['java', 'jvm', 'benchmarking', 'jvm-hotspot', 'microbenchmark']"
How to configure port for a Spring Boot application,925,"['java', 'spring', 'spring-boot', 'server', 'port']"
How can I read a large text file line by line using Java?,925,"['java', 'performance', 'file-io', 'io', 'garbage-collection']"
How to use Jackson to deserialise an array of objects,922,"['java', 'json', 'jackson']"
Convert InputStream to byte array in Java,921,"['java', 'bytearray', 'inputstream']"
Error:java: javacTask: source release 8 requires target release 1.8,921,"['java', 'intellij-idea', 'java-8']"
Difference between <? super T> and <? extends T> in Java [duplicate],918,"['java', 'generics', 'collections']"
How to convert a Java 8 Stream to an Array?,914,"['java', 'arrays', 'java-8', 'java-stream']"
How do I check if a file exists in Java?,911,"['java', 'file-io', 'io', 'file-exists']"
A 'for' loop to iterate over an enum in Java,905,"['java', 'loops', 'for-loop', 'enums']"
Java optional parameters,898,"['java', 'optional-parameters']"
Error java.lang.OutOfMemoryError: GC overhead limit exceeded,885,"['java', 'garbage-collection', 'out-of-memory', 'heap-memory']"
What is difference between CrudRepository and JpaRepository interfaces in Spring Data JPA?,884,"['java', 'spring', 'jpa', 'spring-data', 'spring-data-jpa']"
How do I join two lists in Java?,882,"['java', 'list', 'jdk1.5']"
Why is 2 * (i * i) faster than 2 * i * i in Java?,881,"['java', 'performance', 'benchmarking', 'bytecode', 'jit']"
How to convert a char to a String?,879,"['java', 'string', 'char', 'type-conversion']"
"Efficiency of Java ""Double Brace Initialization""?",868,"['java', 'performance', 'collections', 'initialization']"
Linking to an external URL in Javadoc?,863,"['java', 'url', 'javadoc', 'hyperlink']"
How do I copy an object in Java?,859,"['java', 'object', 'copy', 'clone']"
File to byte[] in Java,857,"['java', 'file-io']"
"What is the difference between JSF, Servlet and JSP?",856,"['java', 'jsp', 'jsf', 'servlets', 'jakarta-ee']"
What's the difference between SoftReference and WeakReference in Java?,854,"['java', 'reference', 'weak-references', 'soft-references']"
What is a daemon thread in Java?,854,"['java', 'multithreading']"
How to pass an object from one activity to another on Android,851,"['java', 'android', 'object', 'android-intent', 'android-activity']"
What is the Java equivalent for LINQ? [closed],851,"['java', 'linq']"
What's the difference between map() and flatMap() methods in Java 8?,850,"['java', 'java-8', 'java-stream']"
Unfortunately MyApp has stopped. How can I solve this?,842,"['java', 'android', 'debugging', 'kotlin']"
How to call a method after a delay in Android,841,"['java', 'android', 'handler', 'delay']"
Scanner is skipping nextLine() after using next() or nextFoo()?,838,"['java', 'io', 'java.util.scanner']"
How do I tell Maven to use the latest version of a dependency?,838,"['java', 'maven', 'dependencies', 'maven-2', 'maven-metadata']"
How to make a new List in Java,837,"['java', 'list', 'collections']"
What is an efficient way to implement a singleton pattern in Java? [closed],835,"['java', 'singleton', 'design-patterns']"
Access restriction on class due to restriction on required library rt.jar?,830,"['java', 'eclipse', 'wsdl', 'stub', 'wsdl2java']"
Correct way to add external jars (lib/*.jar) to an IntelliJ IDEA project,828,"['java', 'intellij-idea']"
Is List<Dog> a subclass of List<Animal>? Why are Java generics not implicitly polymorphic?,828,"['java', 'generics', 'inheritance', 'polymorphism']"
How to initialize HashSet values by construction?,824,"['java', 'collections', 'constructor', 'initialization', 'hashset']"
What is PECS (Producer Extends Consumer Super)?,823,"['java', 'generics', 'super', 'bounded-wildcard', 'pecs']"
How do I discover memory usage of my application in Android?,821,"['java', 'android', 'memory', 'memory-management']"
What is the equivalent of Java static methods in Kotlin?,818,"['java', 'kotlin', 'static']"
"Jackson with JSON: Unrecognized field, not marked as ignorable",809,"['java', 'json', 'data-binding', 'jackson']"
Where is Java Installed on Mac OS X?,799,"['java', 'macos']"
How do I get a class instance of generic type T?,782,"['java', 'generics']"
How to convert an Array to a Set in Java,781,"['java', 'collections', 'arrays', 'set']"
Java URL encoding of query string parameters,779,"['java', 'http', 'url', 'encoding', 'urlencode']"
Making a mocked method return an argument that was passed to it,778,"['java', 'mockito']"
Implements vs extends: When to use? What's the difference?,773,"['java', 'inheritance', 'interface', 'extends', 'implements']"
"Why does array[idx++]+=""a"" increase idx once in Java 8 but twice in Java 9 and 10?",773,"['java', 'java-8', 'javac', 'java-9', 'java-10']"
How to get the current date/time in Java [duplicate],772,"['java', 'datetime']"
Can I catch multiple Java exceptions in the same catch clause?,769,"['java', 'exception', 'try-catch', 'multi-catch']"
"Dealing with ""Xerces hell"" in Java/Maven?",768,"['java', 'maven', 'classloader', 'dependency-management', 'xerces']"
Differences between Oracle JDK and OpenJDK,764,"['java', 'difference']"
How do I convert from int to String?,759,"['java', 'string', 'type-conversion']"
"SLF4J: Failed to load class ""org.slf4j.impl.StaticLoggerBinder""",759,"['java', 'websphere', 'slf4j']"
How to tell Jackson to ignore a field during serialization if its value is null?,757,"['java', 'jackson']"
Removing whitespace from strings in Java,754,"['java', 'whitespace']"
How do I save a String to a text file using Java?,752,"['java', 'file', 'file-io', 'text-files']"
How to verify that a specific method was not called using Mockito?,747,"['java', 'tdd', 'mockito']"
How to convert a Map to List in Java?,745,"['java', 'list', 'collections', 'map']"
decompiling DEX into Java sourcecode,745,"['java', 'android', 'reverse-engineering', 'decompiler', 'dex']"
What is the difference between @Inject and @Autowired in Spring Framework? Which one to use under what condition?,745,"['java', 'spring', 'dependency-injection', 'autowired', 'inject']"
How to read all files in a folder from Java?,744,"['java', 'file', 'io', 'directory']"
Converting ISO 8601-compliant String to java.util.Date,742,"['java', 'date', 'iso8601']"
"How to fix the Hibernate ""object references an unsaved transient instance - save the transient instance before flushing"" error",735,"['java', 'hibernate', 'jpa', 'orm', 'entity']"
Understanding checked vs unchecked exceptions in Java,735,"['java', 'exception', 'runtimeexception', 'checked-exceptions', 'unchecked-exception']"
What is a raw type and why shouldn't we use it?,733,"['java', 'generics', 'raw-types']"
What is the volatile keyword useful for?,729,"['java', 'multithreading', 'keyword', 'volatile']"
How to convert a byte array to a hex string in Java?,728,"['java', 'bytearray', 'hex']"
"What is a stack trace, and how can I use it to debug my application errors?",727,"['java', 'debugging', 'stack-trace']"
How do I invoke a Java method when given the method name as a string?,726,"['java', 'reflection', 'invoke']"
How to get the current time in YYYY-MM-DD HH:MI:Sec.Millisecond format in Java?,725,"['java', 'date']"
How do I compare strings in Java?,724,"['java', 'string', 'equality']"
How to append text to an existing file in Java?,723,"['java', 'file-io', 'io', 'text-files']"
How to filter a Java Collection (based on predicate)?,720,"['java', 'collections', 'filter']"
Can I add jars to Maven 2 build classpath without installing them?,718,"['java', 'maven-2']"
Difference between <context:annotation-config> and <context:component-scan>,712,"['java', 'spring', 'configuration', 'annotations', 'spring-3']"
Using context in a fragment,712,"['java', 'android', 'android-fragments', 'android-context']"
Why is Java Vector (and Stack) class considered obsolete or deprecated?,712,"['java', 'vector', 'stack', 'deprecated', 'obsolete']"
IntelliJ: Never use wildcard imports,705,"['java', 'intellij-idea', 'settings']"
No compiler is provided in this environment. Perhaps you are running on a JRE rather than a JDK?,704,"['java', 'eclipse', 'maven', 'java-7', 'm2eclipse']"
How to upload files to server using JSP/Servlet?,704,"['java', 'jsp', 'jakarta-ee', 'servlets', 'file-upload']"
"How to update a value, given a key in a hashmap?",703,"['java', 'key', 'hashmap']"
What is the difference between == and equals() in Java?,702,"['java', 'identity', 'equality', 'object-comparison']"
How to add local .jar file dependency to build.gradle file?,698,"['java', 'gradle', 'dependency-management', 'build.gradle', 'gradle-eclipse']"
"What is the equivalent of the C++ Pair<L,R> in Java?",697,"['java', 'tuples', 'std-pair']"
How to check internet access on Android? InetAddress never times out,690,"['java', 'android', 'android-asynctask', 'android-networking']"
How can I clear or empty a StringBuilder? [duplicate],690,"['java', 'stringbuilder']"
Simple way to repeat a string,688,"['java', 'string']"
How to get the last value of an ArrayList,686,"['java', 'arraylist']"
Easiest way to convert a List to a Set in Java,684,"['java', 'collections']"
How can I turn a List of Lists into a List in Java 8?,684,"['java', 'collections', 'java-8']"
Can an abstract class have a constructor?,682,"['java', 'constructor', 'abstract-class']"
Set ImageView width and height programmatically?,681,"['java', 'android', 'android-emulator', 'android-widget']"
What's the difference between JPA and Hibernate? [closed],680,"['java', 'hibernate', 'jpa', 'jakarta-ee', 'orm']"
Sending Email in Android using JavaMail API without using the default/built-in app,679,"['java', 'android', 'email', 'android-intent', 'jakarta-mail']"
"IntelliJ inspection gives ""Cannot resolve symbol"" but still compiles code",678,"['java', 'maven', 'intellij-idea', 'intellij-inspections']"
Why is my Spring @Autowired field null?,677,"['java', 'spring', 'null', 'nullpointerexception', 'autowired']"
Ignoring new fields on JSON objects using Jackson [duplicate],675,"['java', 'json', 'jackson']"
Why are static variables considered evil?,674,"['java', 'static']"
Examples of GoF Design Patterns in Java's core libraries,672,"['oop', 'design-patterns', 'java']"
How to convert List<Integer> to int[] in Java? [duplicate],669,"['java', 'arrays', 'collections']"
Any way to declare an array in-line?,668,"['java', 'arrays']"
Java: convert List<String> to a join()d String,662,"['java', 'string', 'list']"
"What does the Java assert keyword do, and when should it be used?",661,"['java', 'assertions']"
IntelliJ show JavaDocs tooltip on mouse over,659,"['java', 'eclipse', 'ide', 'intellij-idea']"
Why do this() and super() have to be the first statement in a constructor?,658,"['java', 'constructor']"
How do I address unchecked cast warnings?,656,"['java', 'generics', 'warnings']"
Unsupported major.minor version 52.0 [duplicate],652,"['java', 'applet', 'version', 'unsupported-class-version']"
How do I make the method return type generic?,647,"['java', 'generics', 'return-value']"
"In Java, what is the best way to determine the size of an object?",646,"['java', 'memory']"
Calling remove in foreach loop in Java [duplicate],643,"['java', 'loops', 'iterator', 'foreach']"
What exactly is Spring Framework for? [closed],643,"['java', 'spring', 'frameworks']"
RecyclerView onClick,641,"['java', 'android', 'android-recyclerview', 'onclick', 'onclicklistener']"
"Difference between DTO, VO, POJO, JavaBeans?",639,"['java', 'terminology', 'javabeans', 'dto', 'pojo']"
Difference between FetchType LAZY and EAGER in Java Persistence API?,637,"['java', 'hibernate', 'jpa', 'orm', 'java-persistence-api']"
How do I parse command line arguments in Java?,636,"['java', 'command-line', 'command-line-arguments']"
"What is the point of ""final class"" in Java?",636,"['java', 'final']"
How can I convert byte size into a human-readable format in Java?,634,"['java', 'formatting', 'apache-commons']"
Ways to iterate over a list in Java,634,"['java', 'loops', 'collections', 'iteration']"
Eclipse/Java code completion not working,632,"['java', 'eclipse', 'ide']"
Downloading Java JDK on Linux via wget is shown license page instead,631,"['java', 'linux', 'installation', 'wget']"
Why can't static methods be abstract in Java?,629,"['java', 'abstract-class', 'static-methods']"
What's the difference between ConcurrentHashMap and Collections.synchronizedMap(Map)?,629,"['java', 'dictionary', 'concurrency']"
Why there is no ConcurrentHashSet against ConcurrentHashMap,627,"['java', 'collections', 'concurrency', 'hashmap', 'hashset']"
java.util.Date to XMLGregorianCalendar,626,"['java', 'xml', 'date', 'xmlgregoriancalendar']"
How can I increment a date by one day in Java?,625,"['java', 'date']"
Is there a destructor for Java?,625,"['java', 'garbage-collection', 'destructor']"
Is it possible to use Java 8 for Android development?,624,"['java', 'android', 'java-8', 'android-gradle-plugin']"
Get an OutputStream into a String,621,"['java', 'string', 'io', 'stream']"
Convert list to array in Java [duplicate],618,"['java', 'arrays', 'list', 'arraylist']"
What issues should be considered when overriding equals and hashCode in Java?,617,"['java', 'overriding', 'equals', 'hashcode']"
What are the best use cases for Akka framework [closed],617,"['java', 'scala', 'asynchronous', 'use-case', 'akka']"
Create instance of generic type in Java?,617,"['java', 'generics']"
"""PKIX path building failed"" and ""unable to find valid certification path to requested target""",616,"['java', 'ssl-certificate', 'httpurlconnection']"
Update Eclipse with Android development tools v. 23,615,"['java', 'android', 'eclipse', 'adt']"
Can we instantiate an abstract class?,613,"['java', 'oop', 'class', 'object', 'abstract']"
Clearing coverage highlighting in Eclipse,611,"['java', 'eclipse', 'code-coverage', 'cobertura', 'emma']"
How to build jars from IntelliJ properly?,609,"['java', 'intellij-idea', 'jar', 'build-process']"
How to get the path of a running JAR file?,609,"['java', 'path', 'jar', 'executable-jar']"
Should I always use a parallel stream when possible?,607,"['java', 'parallel-processing', 'java-8', 'java-stream']"
"What's the difference between getPath(), getAbsolutePath(), and getCanonicalPath() in Java?",607,['java']
Android changing Floating Action Button color,606,"['java', 'android', 'android-5.0-lollipop', 'floating-action-button']"
"How to convert Milliseconds to ""X mins, x seconds"" in Java?",605,"['java', 'time']"
"When to use: Java 8+ interface default method, vs. abstract method",604,"['java', 'interface', 'java-8', 'abstract-class', 'default-method']"
Run a single test method with maven,602,"['java', 'maven', 'unit-testing', 'maven-2', 'maven-3']"
Why am I getting a NoClassDefFoundError in Java?,599,"['java', 'noclassdeffounderror']"
Type List vs type ArrayList in Java [duplicate],599,"['java', 'list', 'interface', 'decoupling']"
Uncatchable ChuckNorrisException,599,"['java', 'exception', 'exception-handling', 'aop']"
.war vs .ear file,596,"['java', 'jakarta-ee', 'deployment']"
How do I count the number of occurrences of a char in a String?,594,"['java', 'string']"
Check if at least two out of three booleans are true,594,"['java', 'boolean', 'boolean-logic']"
How to convert comma-separated String to List?,594,"['java', 'string', 'collections', 'split']"
How can I tell if I'm running in 64-bit JVM or 32-bit JVM (from within a program)?,589,"['java', 'jvm', 'java-native-interface', '64-bit', '32-bit']"
Can you find all classes in a package using reflection?,589,"['java', 'reflection', 'packages']"
Difference between @Mock and @InjectMocks,585,"['java', 'unit-testing', 'mocking', 'mockito']"
Find first element by predicate,585,"['java', 'java-8', 'java-stream']"
How do I programmatically determine operating system in Java?,583,"['java', 'operating-system']"
Why does Math.round(0.49999999999999994) return 1?,583,"['java', 'floating-point', 'double', 'rounding']"
When should I use File.separator and when File.pathSeparator?,581,"['java', 'file', 'path-separator']"
Is there anything like .NET's NotImplementedException in Java?,579,"['java', '.net', 'exception']"
Get generic type of class at runtime,577,"['java', 'generics', 'reflection']"
Spring: @Component versus @Bean,576,"['java', 'spring', 'annotations', 'autowired']"
Where is JAVA_HOME on macOS Mojave (10.14) to Lion (10.7)?,575,"['java', 'macos']"
How to install the JDK on Ubuntu Linux,573,"['java', 'ubuntu']"
Can enums be subclassed to add new elements?,573,"['java', 'enums']"
View's getWidth() and getHeight() returns 0,572,"['java', 'android', 'android-layout', 'getter']"
How to split a string with any whitespace chars as delimiters,572,"['java', 'string', 'whitespace', 'split']"
How to convert Java String into byte[]?,570,"['java', 'arrays', 'string']"
When would you use the Builder Pattern? [closed],569,"['java', 'design-patterns', 'builder']"
JPA JoinColumn vs mappedBy,569,"['java', 'hibernate', 'jpa', 'orm']"
Why is there no SortedList in Java?,569,"['java', 'sorting', 'collections']"
Multiple line code example in Javadoc comment,568,"['java', 'html', 'javadoc']"
Why doesn't Java allow overriding of static methods?,565,"['java', 'static', 'overriding', 'static-methods']"
How do I get a platform-dependent new line character?,564,"['java', 'cross-platform', 'newline', 'eol']"
Eclipse: Set maximum line length for auto formatting?,564,"['java', 'eclipse', 'formatting', 'ide']"
IllegalArgumentException or NullPointerException for a null parameter? [closed],563,"['java', 'exception', 'null', 'nullpointerexception', 'illegalargumentexception']"
"ArithmeticException: ""Non-terminating decimal expansion; no exact representable decimal result""",562,"['java', 'bigdecimal', 'arithmeticexception']"
How to call a SOAP web service on Android [closed],562,"['java', 'android', 'web-services', 'soap', 'wsdl']"
How to nicely format floating numbers to string without unnecessary decimal 0's,560,"['java', 'string', 'floating-point', 'format', 'double']"
Does anyone have benchmarks (code & results) comparing performance of Android apps written in Xamarin C# and Java? [closed],559,"['c#', 'java', 'android', 'xamarin', 'dot42']"
How to determine an object's class?,558,"['java', 'inheritance']"
Does Java have support for multiline strings?,558,"['java', 'string', 'multiline']"
Convert Set to List without creating new List,557,"['java', 'performance', 'list', 'set']"
String.equals versus == [duplicate],556,"['java', 'string']"
Where does the @Transactional annotation belong?,556,"['java', 'spring', 'annotations', 'transactions', 'dao']"
"How do I ""decompile"" Java class files? [closed]",556,"['java', 'decompiler']"
How does autowiring work in Spring?,554,"['java', 'spring', 'spring-mvc', 'ioc-container', 'autowired']"
How to remove the last character from a string?,550,"['java', 'string']"
Convert java.util.Date to java.time.LocalDate,550,"['java', 'datetime', 'java-8', 'java-time']"
How to make an Android device vibrate? with different frequency?,549,"['java', 'android', 'kotlin', 'vibration', 'android-vibration']"
Error - trustAnchors parameter must be non-empty,548,"['java', 'hudson', 'jakarta-mail', 'jenkins']"
Java 8 Distinct by property,548,"['java', 'collections', 'java-8', 'java-stream', 'distinct-values']"
How to for each the hashmap? [duplicate],547,['java']
Why do I get an UnsupportedOperationException when trying to remove an element from a List?,547,"['java', 'exception', 'list', 'arraylist']"
"In Java, how do I check if a string contains a substring (ignoring case)? [duplicate]",547,"['java', 'string', 'substring']"
Converting between java.time.LocalDateTime and java.util.Date,547,"['java', 'datetime', 'java-8', 'java-time']"
The Use of Multiple JFrames: Good or Bad Practice? [closed],546,"['java', 'swing', 'user-interface', 'jframe']"
What are enums and why are they useful?,545,"['java', 'enums']"
How do I remove repeated elements from ArrayList?,544,"['java', 'list', 'collections', 'arraylist', 'duplicates']"
Round a double to 2 decimal places [duplicate],544,"['java', 'double', 'rounding']"
Getting a File's MD5 Checksum in Java,542,"['java', 'md5', 'checksum']"
Java 8 Lambda function that throws exception?,541,"['java', 'lambda', 'java-8']"
"Where to get ""UTF-8"" string literal in Java?",539,['java']
How do I get the file extension of a file in Java?,538,"['java', 'file', 'io']"
Add leading zeroes to number in Java? [duplicate],537,['java']
Hibernate throws MultipleBagFetchException - cannot simultaneously fetch multiple bags,536,"['java', 'hibernate', 'jpa', 'one-to-many', 'bag']"
Why can't I define a static method in a Java interface?,535,"['java', 'interface', 'static-methods']"
Java Class that implements Map and keeps insertion order?,534,"['java', 'dictionary', 'key-value']"
"String concatenation: concat() vs ""+"" operator",534,"['java', 'string', 'concatenation']"
How can I convert my Java program to an .exe file?,534,"['java', 'installation', 'exe']"
How to convert an Iterator to a Stream?,533,"['java', 'iterator', 'java-8']"
How can I get the current date and time in UTC or GMT in Java?,531,"['java', 'date', 'localization', 'timezone', 'gmt']"
java.util.Date vs java.sql.Date,531,"['java', 'sql', 'datetime', 'date', 'jdbc']"
